date,revenue,cogs,gross_profit,gross_margin_pct,day_of_week,is_weekend,month,day_of_year,sessions,unique_visitors,page_views,bounce_rate,avg_session_duration_sec,traffic_source,revenue_ma7,revenue_ma30
2012-09-17,4811788.67,3932069.23,879719.44,18.28,0,0,9,261,,,,,,,3795044.04,4720434.52
2012-09-18,5078878.07,4123200.89,955677.18,18.82,1,0,9,262,,,,,,,3946088.69,4759587.09
2012-09-19,3680241.62,3014323.76,665917.86,18.09,2,0,9,263,,,,,,,3995269.17,4764227.57
2012-09-20,3763143.75,3080273.62,682870.13,18.15,3,0,9,264,,,,,,,4160059.8,4751416.25
2012-09-21,3943768.14,2978697.93,965070.21,24.47,4,0,9,265,,,,,,,4190708.33,4729619.09
2012-09-22,3872374.03,3011266.74,861107.29,22.24,5,1,9,266,,,,,,,4228886.67,4676069.24
2012-09-23,4118299.54,3294951.2,823348.34,19.99,6,1,9,267,,,,,,,4181213.4,4658750.88
2012-09-24,5733263.53,4585762.62,1147500.91,20.01,0,0,9,268,,,,,,,4312852.67,4730207.45
2012-09-25,5639897.53,4502395.62,1137501.91,20.17,1,0,9,269,,,,,,,4392998.31,4775530.55
2012-09-26,4592282.59,3670417.04,921865.55,20.07,2,0,9,270,,,,,,,4523289.87,4827310.11
2012-09-27,7556892.66,6017108.13,1539784.53,20.38,3,0,9,271,,,,,,,5065254.0,4762250.64
2012-09-28,4892631.14,3884590.92,1008040.22,20.6,4,0,9,272,,,,,,,5200805.86,4616653.07
2012-09-29,5304374.46,4170120.63,1134253.83,21.38,5,1,9,273,,,,,,,5405377.35,4457247.75
2012-09-30,4694379.86,3812737.52,881642.34,18.78,6,1,9,274,,,,,,,5487674.54,4310237.79
2012-10-01,4752532.1,3764447.04,988085.06,20.79,0,0,10,275,,,,,,,5347570.05,4183315.23
2012-10-02,3233135.78,2566510.62,666625.16,20.62,1,0,10,276,,,,,,,5003746.94,4204849.78
2012-10-03,3515132.03,2762823.63,752308.4,21.4,2,0,10,277,,,,,,,4849868.29,4193170.68
2012-10-04,2398137.74,1902425.74,495712.0,20.67,3,0,10,278,,,,,,,4112903.3,4151583.62
2012-10-05,2665953.06,2064899.19,601053.87,22.55,4,0,10,279,,,,,,,3794806.43,4160509.21
2012-10-06,2205266.94,1755004.4,450262.54,20.42,5,1,10,280,,,,,,,3352076.79,4138743.86
2012-10-07,3389598.07,2725469.75,664128.32,19.59,6,1,10,281,,,,,,,3165679.39,4142305.34
2012-10-08,4037039.45,3285493.04,751546.41,18.62,0,0,10,282,,,,,,,3063466.15,4154666.49
2012-10-09,4298675.76,3472700.63,825975.13,19.21,1,0,10,283,,,,,,,3215686.15,4149338.96
2012-10-10,3548716.67,2839202.59,709514.08,19.99,2,0,10,284,,,,,,,3220483.96,4115997.43
2012-10-11,3421490.39,2765374.16,656116.23,19.18,3,0,10,285,,,,,,,3366677.19,4095994.92
2012-10-12,2380119.87,1830898.15,549221.72,23.08,4,0,10,286,,,,,,,3325843.88,4064132.98
2012-10-13,2798011.44,2256579.15,541432.29,19.35,5,1,10,287,,,,,,,3410521.66,4070413.05
2012-10-14,3055629.78,2516987.32,538642.46,17.63,6,1,10,288,,,,,,,3362811.91,4047959.76
2012-10-15,3234517.3,2632811.8,601705.5,18.6,0,0,10,289,,,,,,,3248165.89,4035606.15
2012-10-16,3549298.21,2763325.25,785972.96,22.14,1,0,10,290,,,,,,,3141111.95,4005515.67
2012-10-17,3818048.0,3108682.75,709365.25,18.58,2,0,10,291,,,,,,,3179587.86,3972390.98
2012-10-18,2909728.89,2301277.14,608451.75,20.91,3,0,10,292,,,,,,,3106479.07,3900086.01
2012-10-19,2877379.81,2352068.71,525311.1,18.26,4,0,10,293,,,,,,,3177516.2,3873323.95
2012-10-20,3242557.3,2647331.71,595225.59,18.36,5,1,10,294,,,,,,,3241022.76,3855971.07
2012-10-21,2395609.91,1920246.47,475363.44,19.84,6,1,10,295,,,,,,,3146734.2,3804365.79
2012-10-22,3596158.34,2873316.18,722842.16,20.1,0,0,10,296,,,,,,,3198397.21,3795158.6
2012-10-23,3999141.88,3151858.27,847283.61,21.19,1,0,10,297,,,,,,,3262660.59,3791186.68
2012-10-24,3829179.99,3037851.31,791328.68,20.67,2,0,10,298,,,,,,,3264250.87,3727717.23
2012-10-25,3104460.52,2528526.7,575933.82,18.55,3,0,10,299,,,,,,,3292069.68,3643202.66
2012-10-26,2138927.17,1671777.12,467150.05,21.84,4,0,10,300,,,,,,,3186576.44,3561424.15
2012-10-27,2816872.34,2296869.06,520003.28,18.46,5,1,10,301,,,,,,,3125764.31,3403423.47
2012-10-28,6259883.83,5044146.85,1215736.98,19.42,6,1,10,302,,,,,,,3677803.44,3448998.56
2012-10-29,5424539.1,4294440.71,1130098.39,20.83,0,0,10,303,,,,,,,3939000.69,3453004.05
2012-10-30,6347274.89,5049887.71,1297387.18,20.44,1,0,10,304,,,,,,,4274448.26,3508100.55
2012-10-31,4942677.89,3871571.88,1071106.01,21.67,2,0,10,305,,,,,,,4433519.39,3514438.74
2012-11-01,5536748.35,4440955.34,1095793.01,19.79,3,0,11,306,,,,,,,4780989.08,3591225.83
2012-11-02,1936831.08,1547786.14,389044.94,20.09,4,0,11,307,,,,,,,4752118.21,3538615.8
2012-11-03,2911848.61,2151815.97,760032.64,26.1,5,1,11,308,,,,,,,4765686.25,3555739.49
2012-11-04,2658832.75,2131401.7,527431.05,19.84,6,1,11,309,,,,,,,4251250.38,3555502.15
2012-11-05,3332448.46,2732792.99,599655.47,17.99,0,0,11,310,,,,,,,3952380.29,3593074.87
2012-11-06,3439495.01,2809375.18,630119.83,18.32,1,0,11,311,,,,,,,3536983.16,3594738.1
2012-11-07,1969815.91,1538155.1,431660.81,21.91,2,0,11,312,,,,,,,3112288.6,3525830.65
2012-11-08,2197716.17,1723412.77,474303.4,21.58,3,0,11,313,,,,,,,2635284.0,3455798.66
2012-11-09,2920310.06,2308918.6,611391.46,20.94,4,0,11,314,,,,,,,2775781.0,3434851.78
2012-11-10,3124993.27,2475389.25,649604.02,20.79,5,1,11,315,,,,,,,2806230.23,3424968.54
2012-11-11,3484874.3,2713727.18,771147.12,22.13,6,1,11,316,,,,,,,2924236.17,3461793.69
2012-11-12,3806978.06,3077336.49,729641.57,19.17,0,0,11,317,,,,,,,2992026.11,3495425.91
2012-11-13,3848498.06,3048755.92,799742.14,20.78,1,0,11,318,,,,,,,3050455.12,3521854.85
2012-11-14,3213518.64,2550177.92,663340.72,20.64,2,0,11,319,,,,,,,3228126.94,3521154.89
2012-11-15,2996358.37,2282178.26,714180.11,23.83,3,0,11,320,,,,,,,3342218.68,3502723.57
2012-11-16,2851503.98,2255928.16,595575.82,20.89,4,0,11,321,,,,,,,3332389.24,3470505.43
2012-11-17,3258479.4,2499839.57,758639.83,23.28,5,1,11,322,,,,,,,3351458.69,3482130.45
2012-11-18,3292697.97,2632996.71,659701.26,20.04,6,1,11,323,,,,,,,3324004.93,3495974.39
2012-11-19,4654711.93,3714724.53,939987.4,20.19,0,0,11,324,,,,,,,3445109.76,3543046.21
2012-11-20,3532139.01,2841184.71,690954.3,19.56,1,0,11,325,,,,,,,3399915.61,3580930.51
2012-11-21,3144567.59,2465022.82,679544.77,21.61,2,0,11,326,,,,,,,3390065.46,3565877.49
2012-11-22,2661394.83,2082526.75,578868.08,21.75,3,0,11,327,,,,,,,3342213.53,3521285.92
2012-11-23,3625609.77,2879673.14,745936.63,20.57,4,0,11,328,,,,,,,3452800.07,3514500.24
2012-11-24,2283866.51,1759438.38,524428.13,22.96,5,1,11,329,,,,,,,3313569.66,3487147.11
2012-11-25,2891169.43,2288045.69,603123.74,20.86,6,1,11,330,,,,,,,3256208.44,3512221.85
2012-11-26,3626699.25,2942841.67,683857.58,18.86,0,0,11,331,,,,,,,3109349.48,3539216.08
2012-11-27,4703189.22,3751057.26,952131.96,20.24,1,0,11,332,,,,,,,3276642.37,3487326.26
2012-11-28,3980270.66,3143037.5,837233.16,21.03,2,0,11,333,,,,,,,3396028.52,3439183.98
2012-11-29,3116036.61,2564940.27,551096.34,17.69,3,0,11,334,,,,,,,3460977.35,3331476.04
2012-11-30,3184691.98,2466641.44,718050.54,22.55,4,0,11,335,,,,,,,3397989.09,3272876.51
2012-12-01,3064822.76,2435991.34,628831.42,20.52,5,1,12,336,,,,,,,3509554.27,3190478.99
2012-12-02,1765509.34,1464812.23,300697.11,17.03,6,1,12,337,,,,,,,3348745.69,3184768.26
2012-12-03,2315389.05,1807129.65,508259.4,21.95,0,0,12,338,,,,,,,3161415.66,3164886.28
2012-12-04,2382954.42,1864688.02,518266.4,21.75,1,0,12,339,,,,,,,2829953.55,3155690.33
2012-12-05,2286277.45,1849992.69,436284.76,19.08,2,0,12,340,,,,,,,2587954.52,3120817.97
2012-12-06,2733678.5,2184618.1,549060.4,20.09,3,0,12,341,,,,,,,2533331.93,3097290.75
2012-12-07,2065198.04,1633326.72,431871.32,20.91,4,0,12,342,,,,,,,2373404.22,3100470.15
2012-12-08,2087384.34,1719369.91,368014.43,17.63,5,1,12,343,,,,,,,2233770.16,3096792.43
2012-12-09,2430122.78,1883727.02,546395.76,22.48,6,1,12,344,,,,,,,2328714.94,3080452.85
2012-12-10,2542389.69,2015472.58,526917.11,20.73,0,0,12,345,,,,,,,2361143.6,3061032.73
2012-12-11,3699430.17,3001083.16,698347.01,18.88,1,0,12,346,,,,,,,2549211.57,3068184.59
2012-12-12,4386420.92,3545221.89,841199.03,19.18,2,0,12,347,,,,,,,2849232.06,3087499.36
2012-12-13,2326824.81,1839144.84,487679.97,20.96,3,0,12,348,,,,,,,2791110.11,3036776.91
2012-12-14,2659317.57,2101555.8,557761.77,20.97,4,0,12,349,,,,,,,2875984.33,3018303.55
2012-12-15,3385542.75,2693057.28,692485.47,20.45,5,1,12,350,,,,,,,3061435.53,3031276.36
2012-12-16,3484853.43,2706611.68,778241.75,22.33,6,1,12,351,,,,,,,3212111.33,3052388.01
2012-12-17,4281691.85,3433745.61,847946.24,19.8,0,0,12,352,,,,,,,3460583.07,3086495.09
2012-12-18,4394537.67,3473710.24,920827.43,20.95,1,0,12,353,,,,,,,3559884.14,3123223.08
2012-12-19,3785472.73,3004383.53,781089.2,20.63,2,0,12,354,,,,,,,3474034.4,3094248.44
2012-12-20,3905985.95,3132486.67,773499.28,19.8,3,0,12,355,,,,,,,3699628.85,3106710.0
2012-12-21,3966203.09,3174444.37,791758.72,19.96,4,0,12,356,,,,,,,3886326.78,3134097.85
2012-12-22,3225123.87,2559516.54,665607.33,20.64,5,1,12,357,,,,,,,3863409.8,3152888.82
2012-12-23,2151580.15,1770780.57,380799.58,17.7,6,1,12,358,,,,,,,3672942.19,3103754.5
2012-12-24,3297376.6,2599138.83,698237.77,21.18,0,0,12,359,,,,,,,3532325.72,3137538.17
2012-12-25,4917024.98,3856446.89,1060578.09,21.57,1,0,12,360,,,,,,,3606966.77,3205066.69
2012-12-26,3285221.25,2658633.45,626587.8,19.07,2,0,12,361,,,,,,,3535502.27,3193684.09
2012-12-27,4994041.71,3924374.73,1069666.98,21.42,3,0,12,362,,,,,,,3690938.81,3203379.17
2012-12-28,8573663.31,6682336.48,1891326.83,22.06,4,0,12,363,,,,,,,4349147.41,3356492.26
2012-12-29,7842913.37,6260959.87,1581953.5,20.17,5,1,12,364,,,,,,,5008831.62,3514054.82
2012-12-30,6511908.92,5180121.12,1331787.8,20.45,6,1,12,365,,,,,,,5631735.73,3624962.05
2012-12-31,5573749.22,4432224.44,1141524.78,20.48,0,0,12,366,,,,,,,5956931.82,3708592.93
2013-01-01,5304546.99,4156070.2,1148476.79,21.65,1,0,1,1,9760.0,7253.0,39093.0,0.00514,102.9,organic_search,6012292.11,3826560.85
2013-01-02,1606940.44,1237497.84,369442.6,22.99,2,0,1,2,10456.0,8151.0,47611.0,0.00406,120.5,organic_search,5772537.71,3802945.9
2013-01-03,2281680.01,1832133.02,449546.99,19.7,3,0,1,3,10076.0,7458.0,36963.0,0.00401,263.6,direct,5385057.47,3799570.09
2013-01-04,2376895.46,1940747.07,436148.39,18.35,4,0,1,4,9973.0,8063.0,53078.0,0.00562,151.8,direct,4499804.92,3802590.69
2013-01-05,2509462.77,1977027.71,532435.06,21.22,5,1,1,5,10223.0,7882.0,36790.0,0.00525,168.6,referral,3737883.4,3795116.83
2013-01-06,2603356.52,2060481.76,542874.76,20.85,6,1,1,6,9545.0,6992.0,47160.0,0.00438,263.6,social_media,3179518.77,3813055.44
2013-01-07,3048100.39,2452517.39,595583.0,19.54,0,0,1,7,10203.0,7354.0,32749.0,0.00443,252.1,organic_search,2818711.8,3845079.31
2013-01-08,2449700.42,1973182.14,476518.28,19.45,1,0,1,8,9456.0,7459.0,31482.0,0.0044,192.4,paid_search,2410876.57,3845731.9
2013-01-09,2049715.7,1654806.5,394909.2,19.27,2,0,1,9,9162.0,7108.0,46717.0,0.00409,312.8,organic_search,2474130.18,3829309.43
2013-01-10,2794331.46,2122153.07,672178.39,24.06,3,0,1,10,9887.0,7878.0,38472.0,0.00544,285.4,organic_search,2547366.1,3799139.48
2013-01-11,2343077.25,1805692.13,537385.12,22.94,4,0,1,11,9412.0,7368.0,46916.0,0.00356,238.2,social_media,2542534.93,3731028.02
2013-01-12,2814596.53,2241879.07,572717.46,20.35,5,1,1,12,8730.0,6136.0,33336.0,0.00386,193.3,paid_search,2586125.47,3747287.08
2013-01-13,2919719.62,2279740.92,639978.7,21.92,6,1,1,13,8818.0,6863.0,35427.0,0.00372,308.8,paid_search,2631320.2,3755967.15
2013-01-14,3077677.28,2477490.97,600186.31,19.5,0,0,1,14,8230.0,6203.0,35402.0,0.004,301.5,paid_search,2635545.47,3745704.96
2013-01-15,2536405.93,2094291.34,442114.59,17.43,1,0,1,15,8102.0,6179.0,39490.0,0.00445,314.0,direct,2647931.97,3714090.05
2013-01-16,1849789.43,1445623.48,404165.95,21.85,2,0,1,16,9373.0,7503.0,37034.0,0.00446,284.4,paid_search,2619371.07,3633026.63
2013-01-17,2173214.95,1763012.0,410202.95,18.88,3,0,1,17,9819.0,7503.0,48840.0,0.00495,162.5,social_media,2530640.14,3558982.54
2013-01-18,2099249.56,1615535.57,483713.99,23.04,4,0,1,18,10041.0,7821.0,35761.0,0.00509,182.0,email_campaign,2495807.61,3502775.1
2013-01-19,2477132.79,2033637.15,443495.64,17.9,5,1,1,19,8746.0,6138.0,33440.0,0.00546,223.1,organic_search,2447598.51,3455146.67
2013-01-20,2522776.58,2018671.04,504105.54,19.98,6,1,1,20,10270.0,8030.0,35184.0,0.00501,283.9,email_campaign,2390892.36,3407032.45
2013-01-21,4100379.42,3250868.59,849510.83,20.72,0,0,1,21,10339.0,8283.0,40661.0,0.00429,152.6,paid_search,2536992.67,3436207.63
2013-01-22,3538734.12,2801650.02,737084.1,20.83,1,0,1,22,10100.0,7469.0,39597.0,0.00504,250.0,email_campaign,2680182.41,3482446.1
2013-01-23,2836455.88,2322088.98,514366.9,18.13,2,0,1,23,9307.0,7261.0,39117.0,0.00451,243.9,referral,2821134.76,3467082.08
2013-01-24,2522924.71,2102458.71,420466.0,16.67,3,0,1,24,9698.0,7034.0,36976.0,0.00503,144.4,organic_search,2871093.29,3387278.73
2013-01-25,2823082.71,2273250.41,549832.3,19.48,4,0,1,25,10600.0,7868.0,42453.0,0.00385,195.6,email_campaign,2974498.03,3371874.12
2013-01-26,2312290.79,1869897.73,442393.06,19.13,5,1,1,26,10226.0,8004.0,42655.0,0.00566,245.5,organic_search,2950949.17,3282482.42
2013-01-27,3818881.29,3023842.24,795039.05,20.82,6,1,1,27,8604.0,6327.0,44601.0,0.00554,222.6,referral,3136106.99,3123989.68
2013-01-28,5008712.77,4035190.91,973521.86,19.44,0,0,1,28,9701.0,7636.0,51697.0,0.00447,258.0,direct,3265868.9,3029516.33
2013-01-29,4833870.43,4015854.7,818015.73,16.92,1,0,1,29,8638.0,6928.0,42663.0,0.00329,299.3,email_campaign,3450888.37,2973581.71
2013-01-30,4296295.37,3414688.28,881607.09,20.52,2,0,1,30,8596.0,6245.0,30451.0,0.00394,173.9,paid_search,3659436.87,2930999.92
2013-01-31,3378679.46,2731823.14,646856.32,19.15,3,0,1,31,8915.0,6530.0,47230.0,0.00344,109.4,paid_search,3781687.55,2866804.33
2013-02-01,4073777.92,3289266.58,784511.34,19.26,4,0,2,32,15758.0,11220.0,63433.0,0.00409,116.7,organic_search,3960358.29,2949032.25
2013-02-02,2351969.75,1915236.16,436733.59,18.57,5,1,2,33,15027.0,12295.0,56597.0,0.0039,208.2,email_campaign,3966026.71,2951375.24
2013-02-03,2743224.75,2293960.05,449264.7,16.38,6,1,2,34,14372.0,10507.0,72606.0,0.0043,215.7,social_media,3812361.49,2963586.22
2013-02-04,3599084.22,2986552.92,612531.3,17.02,0,0,2,35,15623.0,12726.0,62972.0,0.00524,194.6,organic_search,3610985.99,2999906.93
2013-02-05,3829186.14,3181079.49,648106.65,16.93,1,0,2,36,14177.0,11064.0,62917.0,0.00429,138.2,social_media,3467459.66,3040767.92
2013-02-06,2313071.08,1919077.04,393994.04,17.03,2,0,2,37,14103.0,10525.0,66736.0,0.00367,286.6,referral,3184141.9,3016266.94
2013-02-07,2839296.13,2338660.54,500635.59,17.63,3,0,2,38,14761.0,10967.0,66344.0,0.005,190.5,paid_search,3107087.14,3029253.47
2013-02-08,2648161.4,2136088.4,512073.0,19.34,4,0,2,39,14467.0,10993.0,59452.0,0.00549,227.1,social_media,2903427.64,3049201.66
2013-02-09,2957587.36,2354253.06,603334.3,20.4,5,1,2,40,14578.0,10995.0,47223.0,0.00548,237.0,social_media,2989944.44,3054643.52
2013-02-10,3380985.73,2832001.18,548984.55,16.24,6,1,2,41,16602.0,12760.0,61322.0,0.00387,199.5,organic_search,3081053.15,3089240.47
2013-02-11,4189315.44,3426089.62,763225.82,18.22,0,0,2,42,15063.0,11080.0,60064.0,0.00526,223.3,paid_search,3165371.9,3135064.43
2013-02-12,3967295.55,3276616.25,690679.3,17.41,1,0,2,43,15368.0,11408.0,65858.0,0.00363,162.4,social_media,3185101.81,3169983.63
2013-02-13,3156812.35,2628245.52,528566.83,16.74,2,0,2,44,13346.0,9812.0,50414.0,0.0047,193.8,social_media,3305636.28,3172621.47
2013-02-14,3286622.13,2725794.93,560827.2,17.06,3,0,2,45,17180.0,13040.0,85934.0,0.00387,254.4,paid_search,3369539.99,3197628.67
2013-02-15,2860640.37,2293142.09,567498.28,19.84,4,0,2,46,13633.0,10416.0,74873.0,0.00565,238.7,paid_search,3399894.13,3231323.7
2013-02-16,3339909.75,2755975.45,583934.3,17.48,5,1,2,47,15360.0,12159.0,73050.0,0.00487,203.7,direct,3454511.62,3270213.53
2013-02-17,3433567.61,2907659.44,525908.17,15.32,6,1,2,48,14662.0,10421.0,77351.0,0.00468,314.8,organic_search,3462023.31,3314690.8
2013-02-18,4473211.04,3823113.82,650097.22,14.53,0,0,2,49,13304.0,9946.0,43820.0,0.00573,140.6,organic_search,3502579.83,3381226.74
2013-02-19,4318301.23,3421155.04,897146.19,20.78,1,0,2,50,16231.0,11522.0,82447.0,0.00365,173.8,paid_search,3552723.5,3441077.56
2013-02-20,3392471.04,2787089.48,605381.56,17.84,2,0,2,51,14347.0,11037.0,75545.0,0.00396,224.8,paid_search,3586389.02,3417480.62
2013-02-21,3412803.18,2676550.95,736252.23,21.57,3,0,2,52,14194.0,11525.0,54818.0,0.00546,118.2,organic_search,3604414.89,3413282.92
